time,open,high,low,close,tick_volume,spread,real_volume
2022-08-12 02:00:00,4211.2,4212.9,4210.2,4212.2,327,50,0
2022-08-12 03:00:00,4212.4,4218.2,4205.7,4206.4,1363,50,0
2022-08-12 04:00:00,4206.7,4212.2,4206.2,4209.2,959,50,0
2022-08-12 05:00:00,4209.3,4213.2,4208.9,4212.7,865,50,0
2022-08-12 06:00:00,4212.8,4214.9,4211.4,4213.7,598,50,0
2022-08-12 07:00:00,4213.4,4214.7,4212.4,4212.7,405,50,0
2022-08-12 08:00:00,4212.4,4216.5,4212.2,4216.5,710,50,0
2022-08-12 09:00:00,4216.7,4219.4,4215.4,4218.5,704,50,0
2022-08-12 10:00:00,4218.7,4233.4,4214.9,4230.9,1672,50,0
2022-08-12 11:00:00,4231.2,4234.4,4227.2,4228.4,1053,50,0
2022-08-12 12:00:00,4228.5,4232.7,4227.4,4230.9,876,50,0
2022-08-12 13:00:00,4230.9,4230.9,4221.5,4223.2,918,50,0
2022-08-12 14:00:00,4222.9,4223.9,4217.2,4222.7,807,50,0
2022-08-12 15:00:00,4222.4,4229.7,4220.2,4228.9,804,50,0
2022-08-12 16:00:00,4228.9,4237.1,4222.8,4234.3,2911,20,0
2022-08-12 17:00:00,4230.4,4237.1,4218.6,4232.6,3987,20,0
2022-08-12 18:00:00,4233.1,4246.4,4231.6,4242.6,2264,20,0
2022-08-12 19:00:00,4242.6,4251.9,4242.1,4250.1,1247,20,0
2022-08-12 20:00:00,4250.1,4258.6,4248.9,4256.6,846,20,0
2022-08-12 21:00:00,4256.6,4266.6,4255.6,4265.6,726,20,0
2022-08-12 22:00:00,4265.6,4280.1,4264.6,4278.6,1286,20,0
2022-08-12 23:00:00,4278.5,4279.2,4275.2,4278.2,450,50,0
2022-08-15 01:00:00,4274.7,4276.5,4270.1,4270.7,664,50,0
2022-08-15 02:00:00,4270.4,4273.2,4265.9,4266.2,615,50,0
2022-08-15 03:00:00,4266.6,4271.7,4266.4,4268.9,929,50,0
2022-08-15 04:00:00,4268.8,4273.2,4265.3,4272.9,898,50,0
2022-08-15 05:00:00,4273.2,4273.2,4265.7,4266.4,671,50,0
2022-08-15 06:00:00,4266.2,4269.4,4265.9,4268.7,360,50,0
2022-08-15 07:00:00,4268.9,4270.2,4268.4,4268.9,165,50,0
2022-08-15 08:00:00,4269.2,4270.9,4265.9,4268.9,361,50,0
2022-08-15 09:00:00,4269.2,4270.7,4267.4,4267.7,645,50,0
2022-08-15 10:00:00,4267.8,4268.7,4256.2,4256.9,1313,50,0
2022-08-15 11:00:00,4256.9,4263.4,4256.7,4258.7,947,50,0
2022-08-15 12:00:00,4258.7,4260.2,4253.3,4257.7,582,50,0
2022-08-15 13:00:00,4257.9,4260.2,4253.9,4259.4,659,50,0
2022-08-15 14:00:00,4259.9,4260.7,4251.4,4254.9,569,50,0
2022-08-15 15:00:00,4254.7,4258.9,4246.4,4246.7,1184,50,0
2022-08-15 16:00:00,4246.7,4281.3,4246.4,4277.3,2027,20,0
2022-08-15 17:00:00,4277.6,4277.6,4263.9,4265.7,2618,20,0
2022-08-15 18:00:00,4265.7,4290.4,4262.4,4288.2,2018,20,0
2022-08-15 19:00:00,4288.4,4297.4,4285.4,4296.2,1421,20,0
2022-08-15 20:00:00,4296.4,4298.2,4289.4,4293.9,1208,20,0
2022-08-15 21:00:00,4293.7,4298.4,4289.4,4297.7,1237,20,0
2022-08-15 22:00:00,4297.7,4301.4,4293.7,4296.9,1396,20,0
2022-08-15 23:00:00,4296.4,4296.8,4291.3,4292.5,521,20,0
2022-08-16 01:00:00,4291.2,4291.9,4290.0,4290.6,220,50,0
2022-08-16 02:00:00,4290.9,4294.1,4289.9,4292.4,317,50,0
2022-08-16 03:00:00,4292.4,4292.4,4287.6,4289.1,796,50,0
2022-08-16 04:00:00,4289.4,4290.9,4284.6,4290.6,792,50,0
2022-08-16 05:00:00,4290.1,4297.6,4289.9,4295.6,656,50,0
2022-08-16 06:00:00,4295.6,4295.6,4290.4,4291.1,356,50,0
2022-08-16 07:00:00,4291.4,4293.2,4290.6,4292.6,209,50,0
2022-08-16 08:00:00,4292.6,4293.7,4288.6,4293.2,455,50,0
2022-08-16 09:00:00,4292.9,4293.2,4286.2,4286.2,720,50,0
2022-08-16 10:00:00,4286.4,4290.7,4282.4,4290.2,1320,50,0
2022-08-16 11:00:00,4290.4,4296.4,4288.2,4292.9,1220,50,0
2022-08-16 12:00:00,4293.0,4293.7,4285.4,4289.2,1043,50,0
2022-08-16 13:00:00,4288.9,4289.2,4284.2,4286.4,936,50,0
2022-08-16 14:00:00,4286.2,4293.9,4284.4,4292.4,575,50,0
2022-08-16 15:00:00,4292.4,4294.9,4281.2,4284.9,1067,50,0
2022-08-16 16:00:00,4284.9,4295.1,4282.9,4291.6,2623,20,0
2022-08-16 17:00:00,4291.1,4292.3,4277.2,4283.2,2712,20,0
2022-08-16 18:00:00,4283.5,4312.2,4282.7,4310.2,2085,20,0
2022-08-16 19:00:00,4310.5,4313.7,4304.7,4306.4,1513,20,0
