entry_time,entry,sl,tp,lotes,capital_before,exit_time,exit_price,exit_reason,pnl,capital_after,bars_held
2024-11-08 12:00:00,5965.5,5952.202316855926,5983.230244192098,0.08,11023.882346972825,2024-11-08 16:00:00,5983.230244192098,tp,141.4419535367866,11165.324300509612,4.0
2024-11-11 15:00:00,6016.1,6005.695878783634,6029.972161621823,0.1,11165.324300509612,2024-11-11 17:00:00,6005.695878783634,sl,-104.54121216366549,11060.783088345946,2.0
2024-12-03 14:00:00,6048.6,6040.943795242728,6058.808273009697,0.14,11060.783088345946,2024-12-03 16:00:00,6040.943795242728,sl,-107.88686660181449,10952.896221744131,2.0
2024-12-03 17:00:00,6039.5,6030.203450491354,6051.895399344862,0.11,10952.896221744131,2024-12-03 23:00:00,6051.895399344862,tp,135.79939279348417,11088.695614537615,6.0
2024-12-05 09:00:00,6081.3,6073.889044198389,6091.181274402149,0.14,11088.695614537615,2024-12-05 17:00:00,6091.181274402149,tp,137.63784163008387,11226.333456167698,8.0
2024-12-12 10:00:00,6074.5,6067.123044053299,6084.335941262268,0.15,11226.333456167698,2024-12-12 15:00:00,6067.123044053299,sl,-111.40433920051417,11114.929116967185,5.0
2024-12-13 10:00:00,6068.9,6059.029889670383,6082.060147106155,0.11,11114.929116967185,2024-12-13 17:00:00,6059.029889670383,sl,-109.121213625778,11005.807903341407,7.0
2024-12-26 12:00:00,6012.1,5998.491577659271,6030.244563120974,0.08,11005.807903341407,2024-12-26 18:00:00,6030.244563120974,tp,144.75650496778835,11150.564408309196,6.0
2025-01-16 14:00:00,5951.7,5931.81633182861,5978.211557561854,0.05,11150.564408309196,2025-01-16 20:00:00,5931.81633182861,sl,-99.66834085695064,11050.896067452246,6.0
2025-01-20 10:00:00,6001.5,5987.722205481699,6019.8703926910675,0.08,11050.896067452246,2025-01-20 15:00:00,5987.722205481699,sl,-110.62235614640524,10940.273711305841,5.0
2025-01-24 12:00:00,6109.7,6099.819632664578,6122.873823113895,0.11,10940.273711305841,2025-01-24 16:00:00,6122.873823113895,tp,144.36205425284714,11084.635765558689,4.0
